F,0.472,0.658,0.913,1.262,1.796,2.748,5.186,octile,pwv,Tsys
84.000,66.584,66.943,67.408,68.094,69.139,70.980,75.659,7,5.186,75.659
84.100,66.552,66.912,67.377,68.064,69.112,70.874,75.642,7,5.186,75.642
84.200,66.520,66.882,67.348,68.036,69.084,70.851,75.627,7,5.186,75.627
84.300,66.489,66.851,67.318,68.008,69.057,70.827,75.611,7,5.186,75.611
84.400,66.459,66.820,67.289,67.979,68.953,70.805,75.595,7,5.186,75.595
84.500,66.428,66.792,67.260,67.952,68.927,70.782,75.496,7,5.186,75.496
84.600,66.398,66.686,67.233,67.926,68.902,70.760,75.481,7,5.186,75.481
84.700,66.294,66.658,67.206,67.822,68.879,70.739,75.469,7,5.186,75.469
84.800,66.266,66.631,67.179,67.796,68.855,70.719,75.457,7,5.186,75.457
84.900,66.238,66.604,67.075,67.771,68.831,70.698,75.445,7,5.186,75.445
85.000,66.210,66.576,67.049,67.747,68.809,70.679,75.434,7,5.186,75.434
85.100,66.184,66.551,67.024,67.723,68.787,70.661,75.425,7,5.186,75.425
85.200,66.157,66.523,67.000,67.698,68.765,70.642,75.414,7,5.186,75.414
85.300,66.129,66.497,66.975,67.674,68.743,70.624,75.404,7,5.186,75.404
85.400,66.104,66.473,66.950,67.652,68.722,70.526,75.396,7,5.186,75.396
85.500,66.078,66.448,66.926,67.630,68.623,70.509,75.387,7,5.186,75.387
85.600,66.053,66.423,66.903,67.607,68.603,70.493,75.380,7,5.186,75.380
85.700,65.953,66.324,66.879,67.586,68.583,70.476,75.373,7,5.186,75.373
85.800,65.928,66.300,66.857,67.487,68.564,70.460,75.365,7,5.186,75.365
85.900,65.904,66.277,66.836,67.466,68.545,70.445,75.359,7,5.186,75.359
86.000,65.881,66.254,66.813,67.446,68.526,70.429,75.352,7,5.186,75.352
86.100,65.857,66.232,66.716,67.426,68.508,70.415,75.347,7,5.186,75.347
86.200,65.835,66.210,66.694,67.406,68.492,70.402,75.343,7,5.186,75.343
86.300,65.813,66.188,66.674,67.387,68.474,70.389,75.339,7,5.186,75.339
86.400,65.790,66.167,66.654,67.368,68.457,70.376,75.336,7,5.186,75.336
86.500,65.769,66.146,66.634,67.350,68.442,70.364,75.333,7,5.186,75.333
86.600,65.748,66.126,66.615,67.333,68.427,70.352,75.332,7,5.186,75.332
86.700,65.730,66.109,66.600,67.318,68.415,70.344,75.333,7,5.186,75.333
86.800,65.708,66.087,66.578,67.298,68.397,70.331,75.329,7,5.186,75.329
86.900,65.612,65.991,66.559,67.282,68.382,70.320,75.328,7,5.186,75.328
87.000,65.592,65.971,66.541,67.265,68.367,70.309,75.328,7,5.186,75.328
87.100,65.572,65.953,66.523,67.249,68.275,70.300,75.328,7,5.186,75.328
87.200,65.553,65.935,66.507,67.233,68.262,70.290,75.329,7,5.186,75.329
87.300,65.534,65.917,66.489,67.141,68.249,70.281,75.330,7,5.186,75.330
87.400,65.515,65.900,66.473,67.126,68.237,70.192,75.332,7,5.186,75.332
87.500,65.498,65.882,66.380,67.112,68.224,70.184,75.334,7,5.186,75.334
87.600,65.479,65.864,66.365,67.096,68.212,70.177,75.336,7,5.186,75.336
87.700,65.463,65.849,66.350,67.083,68.200,70.169,75.339,7,5.186,75.339
87.800,65.445,65.832,66.334,67.069,68.189,70.161,75.341,7,5.186,75.341
87.900,65.427,65.815,66.319,67.055,68.178,70.153,75.343,7,5.186,75.343
88.000,65.411,65.800,66.304,67.041,68.166,70.146,75.344,7,5.186,75.344
88.100,65.394,65.783,66.288,67.028,68.154,70.137,75.345,7,5.186,75.345
88.200,65.378,65.768,66.274,67.015,68.142,70.129,75.345,7,5.186,75.345
88.300,65.361,65.753,66.259,67.001,68.132,70.121,75.345,7,5.186,75.345
88.400,65.345,65.737,66.245,66.988,68.120,70.114,75.346,7,5.186,75.346
88.500,65.256,65.723,66.232,66.976,68.111,70.106,75.347,7,5.186,75.347
88.600,65.241,65.634,66.219,66.964,68.100,70.099,75.347,7,5.186,75.347
88.700,65.224,65.618,66.204,66.950,68.088,70.091,75.347,7,5.186,75.347
88.800,65.209,65.603,66.191,66.938,68.077,70.084,75.349,7,5.186,75.349
